296.902: [GC [PSYoungGen: 295008K->592K(284864K)] 602801K->308401K(634432K), 0.0114590 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
307.767: [GC [PSYoungGen: 284816K->576K(275136K)] 592625K->308389K(624704K), 0.0110350 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
313.675: [GC [PSYoungGen: 275136K->672K(265984K)] 582949K->308489K(615552K), 0.0119360 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
319.566: [GC [PSYoungGen: 265952K->592K(257088K)] 573769K->308497K(606656K), 0.0116940 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
325.378: [GC [PSYoungGen: 257040K->744K(248768K)] 564945K->308654K(598336K), 0.0168930 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
331.200: [GC [PSYoungGen: 248744K->576K(240512K)] 556654K->308653K(590080K), 0.0120780 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
337.015: [GC [PSYoungGen: 240512K->576K(232768K)] 548589K->308665K(582336K), 0.0114070 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
342.810: [GC [PSYoungGen: 232768K->560K(225408K)] 540857K->308657K(574976K), 0.0124480 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
345.325: [GC [PSYoungGen: 225392K->336K(218176K)] 533489K->308693K(567744K), 0.0223270 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
349.242: [GC [PSYoungGen: 218128K->512K(211520K)] 526485K->308933K(561088K), 0.0177290 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
354.935: [GC [PSYoungGen: 211520K->592K(205184K)] 519941K->309025K(554752K), 0.0112100 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
360.630: [GC [PSYoungGen: 205136K->728K(199104K)] 513569K->309173K(548672K), 0.0122730 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
366.292: [GC [PSYoungGen: 199064K->336K(192768K)] 507509K->309175K(542336K), 0.0114340 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
371.935: [GC [PSYoungGen: 192720K->592K(187328K)] 501559K->309431K(536896K), 0.0112680 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
372.615: [GC [PSYoungGen: 187280K->304K(181568K)] 496119K->309411K(531136K), 0.0107190 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
378.242: [GC [PSYoungGen: 181552K->528K(176576K)] 490659K->309679K(526144K), 0.0114920 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
383.862: [GC [PSYoungGen: 176528K->352K(295744K)] 485679K->309747K(645312K), 0.0109340 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
389.887: [GC [PSYoungGen: 295712K->662K(285888K)] 605107K->310058K(635456K), 0.0115360 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
395.869: [GC [PSYoungGen: 285846K->576K(276032K)] 595242K->310062K(625600K), 0.0114030 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
401.792: [GC [PSYoungGen: 276032K->560K(266752K)] 585518K->310046K(616320K), 0.0111790 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
412.694: [GC [PSYoungGen: 266736K->560K(257856K)] 576222K->310046K(607424K), 0.0115190 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
418.585: [GC [PSYoungGen: 257840K->592K(249408K)] 567326K->310082K(598976K), 0.0113400 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
424.447: [GC [PSYoungGen: 249360K->560K(241216K)] 558850K->310062K(590784K), 0.0124010 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
430.280: [GC [PSYoungGen: 241200K->576K(233472K)] 550702K->310078K(583040K), 0.0115370 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
436.082: [GC [PSYoungGen: 233472K->576K(226048K)] 542974K->310086K(575616K), 0.0113200 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
441.847: [GC [PSYoungGen: 226048K->576K(218944K)] 535558K->310086K(568512K), 0.0110900 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
444.436: [GC [PSYoungGen: 218944K->432K(212032K)] 528454K->310198K(561600K), 0.0134750 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
448.132: [GC [PSYoungGen: 212016K->824K(205888K)] 521782K->310718K(555456K), 0.0125780 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
453.838: [GC [PSYoungGen: 205880K->448K(199296K)] 515774K->310798K(548864K), 0.0139160 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
459.508: [GC [PSYoungGen: 199296K->336K(193280K)] 509646K->310850K(542848K), 0.0111230 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
465.151: [GC [PSYoungGen: 193232K->576K(187776K)] 503746K->311090K(537344K), 0.0139970 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
465.843: [GC [PSYoungGen: 187776K->288K(182016K)] 498290K->311114K(531584K), 0.0113850 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
471.465: [GC [PSYoungGen: 181984K->576K(177024K)] 492810K->311402K(526592K), 0.0133440 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
477.076: [GC [PSYoungGen: 177024K->336K(290176K)] 487850K->311410K(639744K), 0.0113460 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
483.061: [GC [PSYoungGen: 290128K->736K(280640K)] 601202K->311811K(630208K), 0.0119430 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
489.031: [GC [PSYoungGen: 280608K->592K(271040K)] 591683K->311734K(620608K), 0.0201360 secs] [Times: user=0.07 sys=0.00, real=0.02 secs] 
494.971: [GC [PSYoungGen: 270992K->592K(261952K)] 582134K->311742K(611520K), 0.0112650 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
500.834: [GC [PSYoungGen: 261904K->576K(253248K)] 573054K->311726K(602816K), 0.0113210 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
511.666: [GC [PSYoungGen: 253248K->608K(245056K)] 564398K->311758K(594624K), 0.0187550 secs] [Times: user=0.05 sys=0.01, real=0.02 secs] 
517.509: [GC [PSYoungGen: 245024K->576K(237056K)] 556174K->311738K(586624K), 0.0114480 secs] [Times: user=0.04 sys=0.01, real=0.01 secs] 
523.342: [GC [PSYoungGen: 237056K->576K(229504K)] 548218K->311742K(579072K), 0.0111710 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
